"label","new_genomes/Aameric_YS121.v1.cds.fasta","new_genomes/Abit_YS124.v1.cds.fasta","new_genomes/Cang_YS89.v1.cds.fasta","new_genomes/Ccajan.v1.cds.fasta","new_genomes/Ccin_YS129.v1.cds.fasta","new_genomes/Cens_YS85.v1.cds.fasta","new_genomes/Cmolle_YS235.v1.cds.fasta","new_genomes/Cmuc_YS125.v1.cds.fasta","new_genomes/Cros_YS43.v1.cds.fasta","new_genomes/Ctet_YS88.v1.cds.fasta","new_genomes/Duni_YS76.v1.cds.fasta","new_genomes/Eind_YS44.hap1.v1.cds.fasta","new_genomes/GmaxWm82ISU_01_724_v2.1.cds_primaryTranscriptOnly.fa","new_genomes/Gstr_YS140.v1.cds.fasta","new_genomes/HpodTM013.v1.cds.fasta","new_genomes/Isuf_YS112.v1.cds.fasta","new_genomes/Itin_YS146.v1.cds.fasta","new_genomes/Lcun_YS151.v1.cds.fasta","new_genomes/Lpur_YS149.v1.cds.fasta","new_genomes/Matro_YS75.v1.cds.fasta","new_genomes/Maxil_YS73.v1.cds.fasta","new_genomes/Mlat_YS84.v1.cds.fasta","new_genomes/Mpru_YS155.v1.cds.fasta","new_genomes/Msam_YS158.v1.cds.fasta","new_genomes/Pero_YS156.v1.cds.fasta","new_genomes/Plobssplob_YS90.hap1.v1.cds.fasta","new_genomes/Plun_YS103.v1.cds.fasta","new_genomes/Pmon_YS87.hap1.v1.cds.fasta","new_genomes/Pmonvarlob_YS172.hap1.v1.cds.fasta","new_genomes/Ptet_YS159.v1.cds.fasta","new_genomes/Rmin_YS79.v1.cds.fasta","new_genomes/Shelov_YS99.v1.cds.fasta","new_genomes/Smacrob_YS261.v1.cds.fasta","new_genomes/Tlab_YS204.v1.cds.fasta","new_genomes/Tunci_YS212.v1.cds.fasta","new_genomes/Vvexilla_YS115.hap1.v1.cds.fasta","Pvul218cds.fa","TAIR10cds.fa","Vung469cds.fa"
"Ccin_YS129.v1.contig_240_pilon.g059610.t1","1.369","0.278","1.044","1.030","","2.014","2.004","2.305","0.791","1.031","1.062","0.742","2.340","2.319","2.355","1.045","1.035","2.336","0.720","0.611","0.535","0.639","1.040","0.568","0.533","1.712","0.702","2.636","0.611","0.569","2.321","0.822","1.040","2.628","2.072","0.658","0.841","2.730","0.758"
"Ccin_YS129.v1.contig_894_pilon.g219810.t1","1.311","0.220","0.986","0.972","","1.955","1.945","2.247","0.732","0.973","1.004","0.684","2.282","2.261","2.297","0.987","0.976","2.278","0.662","0.553","0.476","0.580","0.981","0.510","0.474","1.654","0.644","2.578","0.553","0.511","2.263","0.764","0.981","2.570","2.014","0.600","0.783","2.671","0.700"
"Ccin_YS129.v1.contig_894_pilon.g219500.t1","1.317","0.226","0.992","0.978","","1.962","1.952","2.253","0.739","0.979","1.010","0.690","2.288","2.267","2.303","0.993","0.983","2.284","0.668","0.559","0.483","0.587","0.988","0.516","0.481","1.660","0.650","2.584","0.559","0.517","2.269","0.770","0.988","2.576","2.020","0.606","0.789","2.678","0.706"
"Ccin_YS129.v1.contig_894_pilon.g219440.t1","1.383","0.292","1.059","1.045","","2.028","2.018","2.319","0.805","1.046","1.076","0.757","2.355","2.334","2.370","1.060","1.049","2.351","0.735","0.625","0.549","0.653","1.054","0.583","0.547","1.727","0.716","2.651","0.625","0.584","2.336","0.837","1.054","2.643","2.087","0.673","0.856","2.744","0.773"
"Abit_YS124.v1.contig_246_pilon.g027750.t1","1.319","","0.994","0.981","0.258","1.964","1.954","2.255","0.741","0.982","1.012","0.693","2.291","2.269","2.305","0.996","0.985","2.286","0.670","0.561","0.485","0.589","0.990","0.519","0.483","1.663","0.652","2.587","0.561","0.520","2.272","0.773","0.990","2.579","2.023","0.608","0.792","2.680","0.709"
"Abit_YS124.v1.contig_246_pilon.g027780.t1","1.287","","0.962","0.948","0.226","1.931","1.921","2.222","0.708","0.949","0.979","0.660","2.258","2.237","2.273","0.963","0.952","2.254","0.638","0.528","0.452","0.556","0.957","0.486","0.450","1.630","0.619","2.554","0.528","0.487","2.239","0.740","0.957","2.546","1.990","0.576","0.759","2.647","0.676"
"Abit_YS124.v1.contig_246_pilon.g027760.t1","1.280","","0.955","0.942","0.220","1.925","1.915","2.216","0.702","0.943","0.973","0.654","2.252","2.231","2.267","0.957","0.946","2.248","0.631","0.522","0.446","0.550","0.951","0.480","0.444","1.624","0.613","2.548","0.522","0.481","2.233","0.734","0.951","2.540","1.984","0.570","0.753","2.641","0.670"
"Abit_YS124.v1.contig_246_pilon.g027770.t1","1.320","","0.995","0.981","0.315","1.965","1.954","2.256","0.742","0.982","1.013","0.693","2.291","2.270","2.306","0.996","0.986","2.287","0.671","0.562","0.486","0.590","0.991","0.519","0.484","1.663","0.653","2.587","0.562","0.520","2.272","0.773","0.991","2.579","2.023","0.609","0.792","2.681","0.709"
"Maxil_YS73.v1.contig_103_pilon.g000620.t1","1.300","0.474","0.975","0.962","0.504","1.945","1.935","2.236","0.722","0.963","0.993","0.674","2.272","2.250","2.286","0.977","0.966","2.267","0.651","0.542","","0.570","0.971","0.500","0.464","1.644","0.633","2.568","0.542","0.501","2.253","0.754","0.971","2.560","2.004","0.589","0.773","2.661","0.690"
"Maxil_YS73.v1.contig_103_pilon.g000610.t1","1.290","0.464","0.965","0.952","0.494","1.935","1.925","2.226","0.712","0.953","0.983","0.664","2.262","2.241","2.277","0.967","0.956","2.258","0.642","0.532","","0.560","0.961","0.490","0.454","1.634","0.623","2.558","0.532","0.491","2.243","0.744","0.961","2.550","1.994","0.580","0.763","2.651","0.680"
